team-year,W.rank,L.rank,Finish.rank,Age.rank,Ht.rank,Wt.rank,G.rank,MP.rank,FG.rank,FGA.rank,FG%.rank,3P.rank,3PA.rank,3P%.rank,2P.rank,2PA.rank,2P%.rank,FT.rank,FTA.rank,FT%.rank,ORB.rank,DRB.rank,TRB.rank,AST.rank,STL.rank,BLK.rank,TOV.rank,PF.rank,PTS.rank
ORL-2016,35,47,5,28,4,17,82,3,5,4,12,23,22,16,7,6,14,30,29,17,18,21,17,7,12,15,14,19,18
ORL-2015,25,57,5,28,3,5,82,25,17,20,14,22,22,16,12,10,17,30,30,25,25,24,25,23,12,29,22,19,25
ORL-2014,23,59,5,27,28,3,82,2,22,14,21,21,21,21,15,10,25,25,26,12,24,12,21,22,16,22,17,16,25
ORL-2013,20,62,5,25,24,8,82,21,10,4,17,24,18,29,2,7,14,29,30,15,19,9,12,10,29,25,12,11,23
ORL-2012,37,29,3,7,19,3,66,10,26,27,22,1,1,3,30,30,16,28,12,30,16,12,13,20,25,28,18,5,21
ORL-2011,52,30,2,7,20,15,82,12,24,27,16,1,1,10,30,30,4,22,5,30,17,1,6,27,24,16,25,10,16
ORL-2010,59,23,1,7,20,15,82,26,24,27,7,1,1,3,30,30,2,10,7,29,25,1,5,25,27,5,14,7,6
ORL-2009,59,23,1,10,5,26,82,27,26,26,16,2,2,7,30,30,7,10,4,30,27,1,3,29,22,6,12,10,10
ORL-2008,52,30,1,15,13,15,82,18,12,26,5,1,2,4,30,30,3,9,3,27,28,5,12,22,27,27,13,13,6
ORL-2007,40,42,3,23,6,12,82,22,26,30,4,27,28,15,10,18,9,8,7,28,15,19,16,29,22,11,29,21,27
ORL-2006,36,46,3,23,9,16,82,5,20,29,3,29,30,6,4,7,8,11,9,20,17,19,23,27,25,17,25,21,22
ORL-2005,36,46,3,18,6,9,82,29,8,9,9,24,26,18,2,3,13,4,3,17,9,6,3,27,12,11,29,23,9
ORL-2004,21,61,7,23,24,24,82,11,11,2,22,12,15,16,12,7,22,16,16,22,13,27,23,25,29,29,4,16,12
ORL-2003,42,40,4,17,21,24,82,20,13,7,22,5,3,9,25,24,19,8,9,6,18,22,23,21,8,26,10,26,6
ORL-2002,44,38,3,12,19,24,82,8,7,5,12,3,2,8,24,23,10,16,16,15,20,19,25,15,11,20,6,9,4
ORL-2001,43,39,4,26,8,9,82,4,8,6,18,6,8,7,19,12,16,17,12,26,6,19,11,13,8,8,15,28,6
ORL-2000,41,41,4,22,20,11,82,22,5,4,13,26,25,21,2,2,18,13,11,22,4,12,5,22,5,8,28,19,7
ORL-1999,33,17,2,12,6,17,50,19,17,13,20,16,13,18,17,15,21,22,16,23,7,16,11,12,2,21,26,1,22
ORL-1998,41,41,5,4,13,28,82,10,28,16,26,22,18,24,23,13,26,16,16,20,6,25,17,22,18,10,15,1,27
ORL-1997,45,37,3,7,2,24,82,7,22,13,25,8,5,24,25,23,20,21,23,13,11,25,19,23,10,18,11,4,25
ORL-1996,60,22,1,12,1,1,82,9,3,11,3,3,3,8,17,23,2,17,13,28,21,13,14,2,11,16,2,3,3
ORL-1995,57,25,1,17,1,1,82,2,1,5,2,8,7,9,2,12,1,11,4,27,5,4,5,1,12,6,11,4,1
ORL-1994,50,32,2,23,2,1,82,20,6,15,3,2,2,9,15,26,1,15,7,26,10,18,13,9,19,9,15,8,6
